id,category,level,type,jp,hiragana,kor,kor_pronunciation,hiragana_display
0,기초 1,1,kana,あ,あ,아,아,FALSE
1,기초 1,1,kana,い,い,이,이,FALSE
2,기초 1,1,kana,う,う,우,우,FALSE
3,기초 1,1,kana,え,え,에,에,FALSE
4,기초 1,1,kana,お,お,오,오,FALSE
5,기초 1,1,kana,か,か,카,카,FALSE
6,기초 1,1,kana,き,き,키,키,FALSE
7,기초 1,1,kana,く,く,쿠,쿠,FALSE
8,기초 1,1,kana,け,け,케,케,FALSE
9,기초 1,1,kana,こ,こ,코,코,FALSE
10,기초 1,1,kana,さ,さ,사,사,FALSE
11,기초 1,1,kana,し,し,시,시,FALSE
12,기초 1,1,kana,す,す,스,스,FALSE
13,기초 1,1,kana,せ,せ,세,세,FALSE
14,기초 1,1,kana,そ,そ,소,소,FALSE
15,기초 1,1,kana,た,た,타,타,FALSE
16,기초 1,1,kana,ち,ち,치,치,FALSE
17,기초 1,1,kana,つ,つ,츠,츠,FALSE
18,기초 1,1,kana,て,て,테,테,FALSE
19,기초 1,1,kana,と,と,토,토,FALSE
20,기초 1,1,kana,な,な,나,나,FALSE
21,기초 1,1,kana,に,に,니,니,FALSE
22,기초 1,1,kana,ぬ,ぬ,누,누,FALSE
23,기초 1,1,kana,ね,ね,네,네,FALSE
24,기초 1,1,kana,の,の,노,노,FALSE
25,기초 1,1,kana,は,は,하,하,FALSE
26,기초 1,1,kana,ひ,ひ,히,히,FALSE
27,기초 1,1,kana,ふ,ふ,후,후,FALSE
28,기초 1,1,kana,へ,へ,헤,헤,FALSE
29,기초 1,1,kana,ほ,ほ,호,호,FALSE
30,기초 1,1,kana,ま,ま,마,마,FALSE
31,기초 1,1,kana,み,み,미,미,FALSE
32,기초 1,1,kana,む,む,무,무,FALSE
33,기초 1,1,kana,め,め,메,메,FALSE
34,기초 1,1,kana,も,も,모,모,FALSE
35,기초 1,1,kana,や,や,야,야,FALSE
36,기초 1,1,kana,ゆ,ゆ,유,유,FALSE
37,기초 1,1,kana,よ,よ,요,요,FALSE
38,기초 1,1,kana,ら,ら,라,라,FALSE
39,기초 1,1,kana,り,り,리,리,FALSE
40,기초 1,1,kana,る,る,루,루,FALSE
41,기초 1,1,kana,れ,れ,레,레,FALSE
42,기초 1,1,kana,ろ,ろ,로,로,FALSE
43,기초 1,1,kana,わ,わ,와,와,FALSE
44,기초 1,1,kana,を,を,오/워,오/워,FALSE
45,기초 1,1,kana,ん,ん,응,응,FALSE
46,기초 1,1,kana,ア,あ,아,아,FALSE
47,기초 1,1,kana,イ,い,이,이,FALSE
48,기초 1,1,kana,ウ,う,우,우,FALSE
49,기초 1,1,kana,エ,え,에,에,FALSE
50,기초 1,1,kana,オ,お,오,오,FALSE
51,기초 1,1,kana,カ,か,카,카,FALSE
52,기초 1,1,kana,キ,き,키,키,FALSE
53,기초 1,1,kana,ク,く,쿠,쿠,FALSE
54,기초 1,1,kana,ケ,け,케,케,FALSE
55,기초 1,1,kana,コ,こ,코,코,FALSE
56,기초 1,1,kana,サ,さ,사,사,FALSE
57,기초 1,1,kana,シ,し,시,시,FALSE
58,기초 1,1,kana,ス,す,스,스,FALSE
59,기초 1,1,kana,セ,せ,세,세,FALSE
60,기초 1,1,kana,ソ,そ,소,소,FALSE
61,기초 1,1,kana,タ,た,타,타,FALSE
62,기초 1,1,kana,チ,ち,치,치,FALSE
63,기초 1,1,kana,ツ,つ,츠,츠,FALSE
64,기초 1,1,kana,テ,て,테,테,FALSE
65,기초 1,1,kana,ト,と,토,토,FALSE
66,기초 1,1,kana,ナ,な,나,나,FALSE
67,기초 1,1,kana,ニ,に,니,니,FALSE
68,기초 1,1,kana,ヌ,ぬ,누,누,FALSE
69,기초 1,1,kana,ネ,ね,네,네,FALSE
70,기초 1,1,kana,ノ,の,노,노,FALSE
71,기초 1,1,kana,ハ,は,하,하,FALSE
72,기초 1,1,kana,ヒ,ひ,히,히,FALSE
73,기초 1,1,kana,フ,ふ,후,후,FALSE
74,기초 1,1,kana,ヘ,へ,헤,헤,FALSE
75,기초 1,1,kana,ホ,ほ,호,호,FALSE
76,기초 1,1,kana,マ,ま,마,마,FALSE
77,기초 1,1,kana,ミ,み,미,미,FALSE
78,기초 1,1,kana,ム,む,무,무,FALSE
79,기초 1,1,kana,メ,め,메,메,FALSE
80,기초 1,1,kana,モ,も,모,모,FALSE
81,기초 1,1,kana,ヤ,や,야,야,FALSE
82,기초 1,1,kana,ユ,ゆ,유,유,FALSE
83,기초 1,1,kana,ヨ,よ,요,요,FALSE
84,기초 1,1,kana,ラ,ら,라,라,FALSE
